E yu mbena ka'. E fúú efa rkwe aèmboè e m laèa naè. Vúè neè yá mbe dïì' ce yi gúèú yi mú noêñ.	He is not here, for he has risen, just like he said. Come, see the place where the Lord was lying.
Siŋ cu mbe ce.	The bird is sitting up in the tree.
Jisoès aè riñ yuu ce woweèe a m ce kwaè'shi, a koo mú ghaèrñwáè a tár a yeâ geñ,	Jesus, perceiving the reasoning of their hearts, took a little child, and set him by his side,
Joân ñwáè baèptir beèe aè m nyáá aè ntee rïìñ, a ce feè'shi ená beèe a kupse, ma' yaèp buu bbebep tá a baptir woweèe, tá Nyúè bo foèosi woweèe.	John came baptizing in the wilderness and preaching the baptism of repentance for forgiveness of sins.
Ka' yi yu wa'a, Tata be vúè tá e búú beèe búèú aèmboè nyáèá wa'a. Be keè ba aè nfeè' anaè tá rbuu li coêo, ce barñger aèmboè mor wa'a, bú. Buu embe buèu wááwá vi be keè she, tá ñgoèñ foñ ba buu wááwá enjep ñgoèñ vi bú.	But the day of the Lord will come as a thief in the night; in which the heavens will pass away with a great noise, and the elements will be dissolved with fervent heat, and the earth and the works that are in it will be burned up.
AÈsayaè aè m ce laèa buu ca wa'a njobeè' e m yá foèo Jisoès, a ce laèa ba aèmboè ye.	Isaiah said these things when he saw his glory, and spoke of him.
Ñgaâa yá'ni yïì buu a baashïì bbábá' bráâd ba btete nca, vi ruu aè mñkaèa ncoèp-baa-aè-rrúèú.	They took up twelve baskets full of broken pieces and also of the fish.
Nyúè ce e yu yïìseèe Taê, ker ba Jisos Kraâis ce e yu Tata neè weèr foñ, túr weèe aè ntee boèñboñ, ker fa weèe cumúnyañ.	Grace to you and peace from God our Father and the Lord Jesus Christ.
Ñwáè moè' efa seâe mú ce cu neè yi tu ka'. Ñwáè moè' efa seâe mú ce kwe neè yi tu ka'.	For none of us lives to himself, and none dies to himself.
Woweèe a ka' geèe buu wááwá ce a m sañ mbe Ñwaâ' Nyúè ená a be keè geèe neè ye naè, a suusi ye embe ce, a lá njep rsheè.	When they had fulfilled all things that were written about him, they took him down from the tree, and laid him in a tomb.
E túr aè rba ba ñwáè rbyemïû nfi ka', buwa'laèr e lo naatu, gwe mnsa' aèmboè Sataèn aè m gweè naè.	not a new convert, lest being puffed up he fall into the same condemnation as the devil.
A ka' ye ñkaè' baè' tïìtïìyáá, Jisoès aè du mbe Ndaèp Nyúè a ce yá'ni beèe mbo.	But when it was now the midst of the feast, Jesus went up into the temple and taught.
Bfúr waê, m ce bu' mmbo neè weèe ená weèe lor nfeè' neè beèe ce a ce vúè neè ñgaèpni a ker ce daè'si beèe foñ naè. Woweèe a ce geèe jáá efa yuu ce a yá'ni weèe. Sïìr neè njïì neè woweèe.	Now I beg you, brothers, look out for those who are causing the divisions and occasions of stumbling, contrary to the doctrine which you learned, and turn away from them.
M ce laèa wa'a njobeè' beèe ce a teèe btu a yu goèr seê, lañlañ beâe aè múè ñgaâa ñgeèe búè. Njáèá beèe ca a yu ñgaâa laèa buu bcicïì, a ce bo' beèe neè wap blaèa anaè.	For there are also many unruly men, vain talkers and deceivers, especially those of the circumcision,
E dù a cu tètè sê.	He has gone and stayed for a very long time.
Beèe Farïìsi a ka' ce vúè aèbee, Jisoès aè bipshïì neè woweèe enáê,	Now while the Pharisees were gathered together, Jesus asked them a question,
Govanoè aè ka' yá yuu ce yi koni, a byemi yuu ce Sol aè m laèa. E m báèá ryá'nïì ce a m yá'ni du kuu Tata na seê.	Then the proconsul, when he saw what was done, believed, being astonished at the teaching of the Lord.
Baná m ce bu' mmbo neè weèe ená weèe ye yuu. Weèe aè ka' tá ye yuu ka', weèe luñ ka'. Mbúè nyúè'tu embe tu ñwáè moè' efa weâe mú be duè aè yuu ka'.”	"Therefore I beg you to take some food, for this is for your safety; for not a hair will perish from any of your heads."""
Ñgaâa ntaa ca a m ce geèe ntaa neè buu ce a m geèe neè gul ba selvaè ba bluèr ce vi m ce laè'ñger. Ntaa bcáè' ce vi m túr ncoèo jáá jáèá jáá a luu ntaa se naè aè ker ba aègho ka'. Ntaa buu embe ndaèp ce a m geèe neè mntaañguu ce vi m ce rúèú bboèñboñ seê, ba vïì ce a m geèe neè msoèñ juè', ba vïì ce a m soèp, ba buu ce a m geèe neè bco' bboèñboñ ba bluèr, aè ba aègho ka'.	merchandise of gold, silver, precious stones, pearls, fine linen, purple, silk, scarlet, all expensive wood, every vessel of ivory, every vessel made of most precious wood, and of brass, and iron, and marble;
AÈ ka' ba nyúè moè', weèr aè ce duè aè rgeèe rloo. A tarte weèr muunje moè' ce e m ba ñkwaèa. Njáèá yú' mo' yi m ba njep ye, a ce geèe e ce suñ beèe buu ce vi bii ka' ba. E m ce kap ku' mbaèa neè beèe ce a m yuu ye seê, njobeè' e m ce suñ beèe buu anaè.	It happened, as we were going to prayer, that a certain girl having a spirit of divination met us, who brought her masters much gain by fortune telling.
Baná seèe aè ba ce koèñ beèe, ce laèa ba yuu ce yi yu mini, ce geèe yi, tá seèe bo kuè' ba aèmboè Jisos Kraâis ce e yu tu naè, aè mnjïì wááwá.	but speaking truth in love, we may grow up in all things into him, who is the head, Christ;
Jisoès aè beesïì enáê, “Mboâñtu mi yu ba neè beèe ce a ce yu' blaâa Nyúè, ce geèe yuu ce Nyúè ce laèa.”	"But he said, ""On the contrary, blessed are those who hear the word of God, and keep it."""
Yú' wááwá ce yi ka' tá byemi wa' ka', baná yi loè ese Nyúè ka'. Yú' cena yu yú' ñwáè ce e baèa Kraâis ce weèe aè m yu' ená yi ce vúè. Yi yu war njep ñgoèñ seè'ni.	and every spirit who doesn't confess that Jesus Christ has come in the flesh is not of God, and this is the spirit of the Antichrist, of whom you have heard that it comes. Now it is in the world already.
njobeè' nfeè' ca be ba nfeè' ce Nyúè be kúsi mcucu' aètu buu bbebep ce beèe a m geèe, tá yuu ce a sañ mbe Ñwaâ' Nyúè yi bo ghááte njo.	For these are days of vengeance, that all things which are written may be fulfilled.
M ce lu'shi njobeè' weèe, máná máè mú ba aèfo ka', tá weèe bo byemi neè máè. Baná seèe du yá ye.”	"I am glad for your sakes that I was not there, so that you may believe. Nevertheless, let's go to him."""
Máè m jáèr seê. Mdip mi sáni loèr máè, byáèá a fa máè ñgá', yaè beèe efa máâ to' a fa máè ñgá', beèe enje jáá a fa máè ñgá'. Máè m yá ñgá' aè múè la', a yá ñgá' aè rïìñ, a yá ñgá' njep rdip rgoèr, a ker yá ñgá' mbe mmbo beèe ce a bo' beèe ená a yu ñgaâa rbyemïì naè.	I have been in travels often, perils of rivers, perils of robbers, perils from my countrymen, perils from the Gentiles, perils in the city, perils in the wilderness, perils in the sea, perils among false brothers;
Wáè ka' byemi ená Nyúè aè kani wáè efa rgeèe buu ca ka', aè ma'shïì tá ku rïìñ ba wáè weèe Nyúè. Ñwáè ce e ka' riñ ená yuu ce e ce geèe yi yu yáánïì, yi ntee yi ce fa ye ñgá' aè yuu anaè ka', baná ñgaèñ yu ñwáè rboâñtu.	Do you have faith? Have it to yourself before God. Happy is he who doesn't judge himself in that which he approves.
Bbyeèñgeê, yu'ni neè neè bduu wee aèmboè beèe ce a ce duè aèmbuèu Tata Jisoès a ba geèe.	Wives, be in subjection to your husbands, as is fitting in the Lord.
Jisoès aè laa neè ye enáê, “M be vúè geèe tá e ke'se.”	"Jesus said to him, ""I will come and heal him."""
Seèe ka' laa ená seèe woweèe yu aèbee, kúti ce jáèr aè túè'nji baná seèe ce nya' mnde', a ke' ce cu rcu ce li yu mini ka'.	If we say that we have fellowship with him and walk in the darkness, we lie, and don't tell the truth.
njobeè' a sañ mbe Ñwaâ' Nyúè enáê, “Ba neè brara njobeè' m yu nrara.”	"because it is written, ""You shall be holy; for I am holy."""
Blaâa Nyúè vi m duè kuèntombïì, ñgoo beèe ce a m ce duè aèmbuèu Jisoès aè rla' Jáèrusaláèm aè ku' seê. Ñgaâa tañshi tañshïì ce a m yu' blaâa rbyemïì ca a byemi, a m ba goèr.	The word of God increased and the number of the disciples multiplied in Jerusalem exceedingly. A great company of the priests were obedient to the faith.
M ce yá ñgá' ca mbe shañ aèmboè ñwáè ce e bú' lá ncir wa'a njo' Nsuñ Mboèñmboñ anaè. Ka' a kur máè neè bkwaèñ wa'a, aède' a kur blaâa Nyúè ka'.	in which I suffer hardship to the point of chains as a criminal. But God's word isn't chained.
Rjɛ̀r li kʉni.	The journey has been postponed.
A ka' vúè neè woweèe, a tár woweèe mbe múè kansuèr. Ñwáè ce e m ba tu neè ñgaâa tañshi tañshïì aè bipshïì buu neè woweèe.	When they had brought them, they set them before the council. The high priest questioned them,
Ñwáè ce e ka' baa nfúr yïì, baná ñgaèñ yu ñwáè nyú beèe. Weèe yi weená ñwáè nyú beèe aè koni ryoèñ ce nfeseè ka'.	Whoever hates his brother is a murderer, and you know that no murderer has eternal life remaining in him.
Ñwáè ce e ka' túr yuu, baná a be fa ye buu moè'. Ñwáè ce e ka' tá túr yuu ka' baná a be koo ka' mú yïì ce e ce kwaè'shi ená e túr naè ese ye.”	"For whoever has, to him will more be given, and he who doesn't have, even that which he has will be taken away from him."""
Tu yïû goèr yi laa neè ye ená e duê. E duè e fa suñ ñwáè moè' yuu ce e suñ ye naè ka'.	"So the commanding officer let the young man go, charging him, ""Tell no one that you have revealed these things to me."""
Ñwáè ce e ka' túr yuu, baná a be keèr fa ye buu moè', tá e misi túr buu goèr. Ñwáè ce e ka' tá túr yuu ka', baná a be koo, ka' mú yïì ce e túr naè ese ye.	For whoever has, to him will be given, and he will have abundance, but whoever doesn't have, from him will be taken away even that which he has.
Buu ce m ce sañ na vi yu mini. Nyúè rïìñ ená m ce nya' ba mnde' ka'.	Now about the things which I write to you, behold, before God, I'm not lying.
Jisoès aè ka' ba a woweèe aè nfeè' anaè, a laa neè woweèe ená woweèe a fa loâ aè rlaè' Jáèrusaláèm ka'. E m laèa enáê, “Cu neè ce ke' yuu ce Nyúè Taèr aè m kaè' neè weèe aè ba yuu ce máè m suñ weèe foñ naè.	"Being assembled together with them, he commanded them, ""Don't depart from Jerusalem, but wait for the promise of the Father, which you heard from me."
Máè ka' yu' wa'a, a gwe njeptii ncïìndap Nyúè anaè ená m bo gú'shi neè ye. E laa neè máè enáê, “Fa geèe wa' ka'. M ku ba ñwáè ce m ce geèe rfaè' Nyúè aèmboè wáâ geèe foñ naè. M ku ba ñwáè rfaè' neè Nyúè aèmboè weèe bfúr wo weèe yu naè. M ku ba aèmboè beèe wááwá ce a táá tatap, a ce laèa ená Jisoès yu yaèp Tataê. Gú'shi neè ba neè Nyúè caè'caè'. Nsuñ Jisoès yu ntee efa ntuu Nyúè.”	"I fell down before his feet to worship him. He said to me, ""Look! Don't do it! I am a fellow bondservant with you and with your brothers who hold the testimony of Jesus. Worship God, for the testimony of Jesus is the Spirit of Prophecy."""
Kɛʼ e nyù ce Tantoʼ à m cɛp mɛ̀ nà bsɛ̀ bvi ke koo mɛ̀ à rcàʼni ye sê.	Since the day that Tantoh insulted me, I am always very reluctant to greet him.
Muu mòʼ à bipshi mɛ̀ a?	Has a certain child asked for me?
Máèári ce ndur yïû Lasoèroès aè m ce yañ na, aè m ba Máèári ce e m cu'ni mgúr aè mkuèu Tata Jisoès, a siñsi neè yi nyúè'tu naè.	It was that Mary who had anointed the Lord with ointment, and wiped his feet with her hair, whose brother, Lazarus, was sick.
AÈmboè m ce yá ñgá' a weâe btuè seè'ni na, m ce lu'shi. M ce yá ñgá' aèmboè Jisos Kraâis aè m yá aètu cor ce e yu yïì nyor naè. M ce yá ñgá' ca wa'a, ryañ ce m ce yu' li ce mïìsi ñgá' ce Jisoès aè m yá, e bátïì naè.	Now I rejoice in my sufferings for your sake, and fill up on my part that which is lacking of the afflictions of Christ in my flesh for his body's sake, which is the assembly;
Jisoès neè yi tu nyor aè m be laa ená a ke yu'ni neè ñwáè ncep ntuu Nyúè fa yeâ ñgoèñ ka'.	For Jesus himself testified that a prophet has no honor in his own country.
E cu aè nsheè, a ká' yïì beèe ce ncoèp-baa-aè-rrúèú, a laa neè woweèe enáê, “Ñwáè ce e ka' ce koèñ aè rba ñwáè e kuèntombïì, baná e be loèr yi tu aè ñwáè embaè lúèsimbuèu, ba aè ñwáè rfaè' neè beèe wááwá.”	"He sat down, and called the twelve; and he said to them, ""If any man wants to be first, he shall be last of all, and servant of all."""
Woweèe a ka' yá, a riñ ená a ñwáè ce e m ce cu njep cuâu ñka' ce a m ce too ená Rboèñ, ce loo buu ese beèe naè. Woweèe a bááñgeèr, a túr yuu laèa ka', njo' yuu ce yi m koni anaè.	They recognized him, that it was he who used to sit begging for gifts for the needy at the Beautiful Gate of the temple. They were filled with wonder and amazement at what had happened to him.
Jisoès aè beesïì neè woweèe enáê, “Weèe aè byemi seè'ni a?	"Jesus answered them, ""Do you now believe?"
Jisoès aè laa neè ye enáê, “AÈ ka' ba njo' yuu ce wáè laèa na, yú' nyúèrkaè' ca yi fúú enjep muu ghoè. Duè yo yu.”	"He said to her, ""For this saying, go your way. The demon has gone out of your daughter."""
Yi ka' ba ená buu bbebep ce seèe ce geèe, ce geèe beèe a ce yá ená Nyúè yu ñwáâ nyáánïì, seèe ka' laa seená ká? Waè' aède' seèe laa ená Nyúè aè ka' fa seèe ñgá' njo' buu bbebep ce seèe aè geèe baná e geèe yuu yáánïì ka' a? (M ce laèa ba aèmboè ñwáè.)	But if our unrighteousness commends the righteousness of God, what will we say? Is God unrighteous who inflicts wrath? I speak like men do.
Ce ye baa.	Be eating the fufu.
Rraa anaè li ke raa aè túè'nji. Túè'nji aè m be liisi rraa anaè ka'.	The light shines in the darkness, and the darkness hasn't overcome it.
AÈmboè weèe yu brara njobeè' weèe aè yu'ni a gee buu mini, a koñ bfúr wee neè mini-ñwáè na, m ce laèa máná weèe koñni neè ye ntee-ñwáè.	Seeing you have purified your souls in your obedience to the truth through the Spirit in sincere brotherly affection, love one another from the heart fervently:
Woweèe a saa enjep rsheè a cañ, njobeè' woweèe a m ce wáp, a ker jep foñ. Woweèe a laa yuu neè ñwáè ka' njobeè' woweèe a m ce wáp.	They went out, and fled from the tomb, for trembling and astonishment had come on them. They said nothing to anyone; for they were afraid.
Beèe magoèr ce a m ba aè dïì' anaè a m byemi neè Jisoès.	Many believed in him there.
Mnoèñ vi ka' caèa aèñgoo, Jus a cuteè, a fa mntañ a ká' a ce roèo mi mkuèu.	When many days were fulfilled, the Jews conspired together to kill him,
Dù gwar ntaaŋguu ce e tɛɛ nà.	Go and cut down that stick.
Nyúè aè ker laa foñ enáê, ‘M be sa', fa ñgá' neè to' ce woweèe a ce faè' bkwaèa neè woweèe naè. Máâ geèe wa' wáá, tá woweèe a fúú aèfo, vúè loo neè máè aèfa na.’	I will judge the nation to which they will be in bondage,' said God, 'and after that will they come out, and serve me in this place.'
Yi ka' ba ená Nyúè aè m ce koèñ aè rduèñshi li rshentee, geèe tá beèe a bo yá yi ñger, a lo a kur ba ntee neè beèe ce a m geèe ntee yi bep ye, aè ba beèe ce yi m ba ená e be yúshi woweèe naè,	What if God, willing to show his wrath, and to make his power known, endured with much patience vessels of wrath made for destruction,
Yú' Rara yi yá, wer weèr foñ aè yá ená yi yu boèñboñ ená weèr ker lá ntáèr mo' mbe weâe nduè caa efa mú mncir ce weèr be suñ weèe ená weèe lá na ka'.	For it seemed good to the Holy Spirit, and to us, to lay no greater burden on you than these necessary things:
E m laèa wa'a, ke' ba njobeè' e m ce koosimnse neè ñgaâa fuèp ka'. E m laèa wa'a njobeè' e m ba nyáèá. A ye ce e m ce láè yap mbaèa, a ce yáèá mo' enjo.	Now he said this, not because he cared for the poor, but because he was a thief, and having the money box, used to steal what was put into it.
Jisoès aè beesïì a laa neè woweèe enáê, “Waè' weèe ce kwaè'shi weená beèe aè ñgoâñ Galeèle ca a m yá ñgá' ca wa'a yi ba ená woweèe a m ba yap ñgaâa ñgeèe buu bbebep a caa beèe wááwá aè ñgoâñ Galeèle a?	"Jesus answered them, ""Do you think that these Galileans were worse sinners than all the other Galileans, because they suffered such things?"
Nyúè ku bii kaè' ená aède' seèe vú mbe yïû dïû' rlúèshïì foñ. Baná seèe lor nfeè' faè dïì' moè' efa seèe lo buu efa rbaè' aè dïû' rlúèshïì anaè ka'.	Let us fear therefore, lest perhaps anyone of you should seem to have come short of a promise of entering into his rest.
Jisoès aè m ká' yïì beèe ce ncoèp-baa-aè-rrúèú a fa woweèe ñger aè rfúr byú' mnyúâmkaè' enjep beèe, ker ba aè rgeèe tá ñgaâa byañ a ke'se.	He called the twelve together, and gave them power and authority over all demons, and to cure diseases.
A ka' geèe ku' buu bbáèá ce Nyúè aè m maè'shi ená e gee aè rlii nyaèa ca naè, a bo' beèe enjep ñgoèñ wááwá aègho. E m laèa ená a woweèe a gee blañ tá a bo gú'shi neè nyaèa ce a m gwaèr neè kaèafaè' e ke' kwe ka' naè.	He deceives my own people who dwell on the earth because of the signs he was granted to do in front of the beast; saying to those who dwell on the earth, that they should make an image to the beast who had the sword wound and lived.
Woweèe a roo aè ryá ená Jisoès be geèe tá e ke'se nyúè mmbomntaa Nyúè lá, tá woweèe a bo sa' ye ená e bú' ncir.	They watched him, whether he would heal him on the Sabbath day, that they might accuse him.
Beèe enje jáá a m lïìp máè neè mmbaèñ nfeè' taar, beèe a túúshïì máè neè bluèr nfeè' moè'sir. Weèr aè ka' ce jáèr njep mdip mñgoèrñgoèr mbe bkeñ bgoèrgoèr, bkeñ anaè vi bep neè weèr, a coo njep roè nfeè' taar. Máè m cu njep rdip rgoèr káâ' aèñgaèptú' du ba' aèñgaèptú' moè'.	Three times I was beaten with rods. Once I was stoned. Three times I suffered shipwreck. I have been a night and a day in the deep.
Woweèe a ka' laèa wa'a, e laa neè woweèe enáê, “Weèe yu blúr, a ce sïìrni aè rbyemi yuu ce ñgaâa ncep ntuu Nyúè a m laèa.	"He said to them, ""Foolish men, and slow of heart to believe in all that the prophets have spoken!"
Mɛ̀ bɛ rfàʼ ca njobèʼ mɛ̀ mʉ ce vʉ̀ rfàʼ nfèʼsìp kaʼ.	I lost this job because I was not coming to work everyday.
Beèe a faè' neè weèe, weèe aè kanïì aè rlaè' woweèe. Yu' neè aèmboè woweèe a ce war ce gúèú weèe, woweèe a war teèteè, Nyúè ce e túr ñger mbenduè buu wááwá aè yu'.	Behold, the wages of the laborers who mowed your fields, which you have kept back by fraud, cry out, and the cries of those who reaped have entered into the ears of the Lord of Armies.
Nyúè aè ka' kuèu ñgoèñ, túè' aè sii.	Now from the sixth hour there was darkness over all the land until the ninth hour.
Baná weèe fa ba blúr ka'. Rïìñ neè ba buu ce Tata Jisoès ce koèñ ená weèe geêe.	Therefore don't be foolish, but understand what the will of the Lord is.
m ker ghááte ce aède' aè too máè ená muu woè ka', loèr máè tá m ba ba aèmboè yoè ñwáè rfaè' moè'.’	"I am no more worthy to be called your son. Make me as one of your hired servants.""'"
E m duè mbe Ndaèp Nyúè a lor bráâd ce a m fa neè Nyúè a ye, a fa bár neè beèe ce a woweèe a m ba. Ncir yi m byemi ená e ye ka', káè ená beèe ce e m ba a woweèe a ye foñ ka'. Beèe ce yi m ba ená a ye aè m ku ba ba ñgaâa tañshi tañshïì.	how he entered into the house of God, and ate the show bread, which was not lawful for him to eat, neither for those who were with him, but only for the priests?
Woweèe a yu beèe Isráèl. Nyúè aè m geèe woweèe a bo ba boo vi, a fa yi foèo neè woweèe. E m ye leè' a woweèe, a fa woweèe mncir. E m suñ woweèe aèmboè aède' woweèe a gee rloo. E m geèe mi mkaè'ni ba neè woweèe.	who are Israelites; whose is the adoption, the glory, the covenants, the giving of the law, the service, and the promises;
Nformi e ke barsi bèe bkòr sê.	Nformi usually urges people to fight.
Woweèe a koèñ aè rba ñgaâa ryá'ni mncir Nyúè, a ke' riñ buu ce woweèe a ce laèa neè ntee-ñwáè ená vi yu mini naè ka'.	desiring to be teachers of the law, though they understand neither what they say, nor about what they strongly affirm.
Woweèe a beesïì a laa neè ye enáê, “A m bi wáè njep múè buu bbebep, wáè ce roèo aè ryá'ni weèr a?” A ka' laèa wa'a, a juu ye embe ndaèp rloo.	"They answered him, ""You were altogether born in sins, and do you teach us?"" They threw him out."
Ndi à dù ntaa a kap mbàa sê.	Ndi went to the market and made a lot of profit.
E tʉr mbàa sèʼni.	He now has money.
Simïìyoèn aè ghonïì woweèe a laa neè yïì ma ce Máèári enáê, “Muu ca aè láè Nyúè tá e bo geèe tá beèe magoâr aè to' Isráèl a kweñger, keèr geèe tá beèe magoâr aè ñgoèñ anaè a natïî. E be ba ncoèo ce beèe magoèr a be koèñ ka', laèa bebep se aèmboè ye.	"and Simeon blessed them, and said to Mary, his mother, ""Behold, this child is set for the falling and the rising of many in Israel, and for a sign which is spoken against."
Beèe ce a m laèa ená e geèe faèa naè a táá mbe koêr, a laa yuu mo' efa buu bbebep ce máè m ce kwaè'shi ená woweèe a be laèa aèmboè ye ka'.	Concerning whom, when the accusers stood up, they brought no charge of such things as I supposed;
Geewa'a, keñ be niñ nje múè nsaruñ, taèñte, táá aèwaâa rla' mo'.”	"But we must run aground on a certain island."""
E kʉr kwaa àmbò mbʉ waʼa.	He crushed the corn like a goat.
Máâ Taèr, máè laèa mánáê, Leè' ce m be ye weèr beèe Isráèl aè mnoèñ ce vi bii ka' ba naè yi yu ená m be geèe tá woweèe a kupse yap ntee, ce yu' rboèñ aè rláè wa mncir. M be ba yaèp Nyúè tá woweèe a ba yaè beèe.	"For this is the covenant that I will make with the house of Israel. After those days, says the Lord; ""I will put my laws into their mind, I will also write them on their heart. I will be their God, and they will be my people."
Jisoès aè ka' yá yïì maê, ker ba ñwáè yá'ni yïì buu ce e m koèñ naè aèmboè woweèe a táá aètútú, e laa neè yïì ma enáê, “Njeñwáè yáê, a muu ghoè na.”	"Therefore when Jesus saw his mother, and the disciple whom he loved standing there, he said to his mother, ""Woman, behold your son!"""
Beèe ce a m ce cïìñ ñkuânyaèm ca a cañseè, a du aè laè', a suñ buu ca wááwá, a ker suñ yuu ce yi m koni neè beèe ce byú' mnyúâmkaè' vi m ba njep woweèe naè.	Those who fed them fled, and went away into the city, and told everything, including what happened to those who were possessed with demons.
E m ce duè mbe ndaèp rloo Jus aè mmbomntaa wááwá, a ce naèshi woweèe buu tá Jus ba Greâk ce a m ba mbo a bo byemi neè Jisoès.	He reasoned in the synagogue every Sabbath, and persuaded Jews and Greeks.
A be keè yo' ñwáè wááwá neè mgwañ ce yu ba mor.	For everyone will be salted with fire, and every sacrifice will be seasoned with salt.
Waè' aè ce loèr ñgeâe boèñboñ ce Nyúè ce geèe neè beèe, a gee yuu mo' neè woweèe ka', a túr ntee múfáèá naè, aè yuu cicïì a? Mboè wáè rïìñ wáná Nyúè ce geèe ñgeâe boèñboñ ca neè wáè wa'a, a ce fa wáè fáñ tá aè bo kupse yo ñgeâe bebep a?	Or do you despise the riches of his goodness, forbearance, and patience, not knowing that the goodness of God leads you to repentance?
Ñwáè ce e ka' tá koni weèe káè yu' yuu ce weèe be laèa ka', weèe ka' ce fúú embe ndaèp ñwáè anaè, káâ aè rla' anaè áè, weèe kashïì nfúènfú efa weâe mkuèu.	Whoever doesn't receive you, nor hear your words, as you go out of that house or that city, shake off the dust from your feet.
Fa fa yo cuèu njep múè mnsár ka'. AÈde' mnsár anaè vi gee ñwáè riñ Nyúè ka', vi loè gee beèe ce a ce sár vi a misïì máñni Nyúè máñni.	But shun empty chatter, for they will proceed further in ungodliness,
Ntee yi m bep máè neè woweèe, máè ye leè' máná aède' woweèe a ke ba' a ya dïû' rlúèshïì tá a bo lúèshi ka'.”	"as I swore in my wrath, 'They will not enter into my rest.'"""
Blaâa Tata vi m duè aè ñgoèñ anaè wááwá.	The Lord's word was spread abroad throughout all the region.
A ka' laèa wa'a, a lip ye neè ñke' mbe tuè, a ce ye neè mce, a gú'shi a ce bo'shi ená a ce caè'ni ye.	They struck his head with a reed, and spat on him, and bowing their knees, did homage to him.
Anaès ce e m ba tu neè ñgaâa tañshi tañshïì, ba Kaifaès, ba Joân ba AÈláèksandaè, ker ba beèe embe ndúè' ñgaâa tañshi tañshïì, a m ba aèfo foñ.	Annas the high priest was there, with Caiaphas, John, Alexander, and as many as were relatives of the high priest.
Rdip li bàati.	The river has overflown.
Josáèf aè koo gúèú ñwáè, a kur njep ma cáâ' boèñboñ,	Joseph took the body, and wrapped it in a clean linen cloth,
Jisoès aè m yá ená ku' beèe a ce vúèse, e waa yú' bebep anaè a laa enáê, “Wáâ yú' ce yi ke geèe ñwáè e fuñreè ker ba lúr, máè laa neè wáè: fúú enjep ye. Fa keèr niñ njep ye nyúè moè' ka'.”	"When Jesus saw that a multitude came running together, he rebuked the unclean spirit, saying to him, ""You mute and deaf spirit, I command you, come out of him, and never enter him again!"""
Kuè ce gee neè ba yuu ce m ce geèe aèmboè má máè ce geèe ba buu ce Jisos Kraâis aè m ce geèe.	Be imitators of me, even as I also am of Christ.
A sañ mbe Ñwaâ' Nyúè enáê, “Ku báti nfeè' múcaèr, tá ñwáè ce e be vúè naè, vúê. E be caèasi nfeè' ka'.	"In a very little while, he who comes will come, and will not wait.
Hebrews	Hibruès	10	38	Yaè ñwáè ce e yu yáánïì a máâ bsii njobeè' e byemi neè máè, be luèñ. E ka' kúti njïìnjïì baná m be yu' rboèñ neè ye ka'.”	But the righteous will live by faith. If he shrinks back, my soul has no pleasure in him."
Ñwáè ce e ka' túr btuè', ñgaèñ yu'.”	"If anyone has ears to hear, let him hear!"""
Nyúè túr ñger aè rghoèni weèe goèr seê, tá weèe ke' buu yuu mo' aè nfeè' moè' ka', tá weèe bo loèr buu anaè geèe mfaâ' mmboèñmboñ aègho.	And God is able to make all grace abound to you, that you, always having all sufficiency in everything, may abound to every good work.
Mmir ŋkʉʉ a mmir ŋkɛŋ.	The eyes of a chief are eyes that see everything.
Jisòs à m bèesi mdip mi kʉtì mrùʼ.	Jesus changed water into wine.
AÈ ka' ba neètú', Pol aè yá yuu mo' aèmboè rlo wa'a. E m yá aèmboè ñwáâ aè ñgoâñ Máèsáèdonïìyaè aè táá, a ce bu' mmbo neè ye enáê, “Vúè aè ñgoâñ Máèsáèdonïìyaè, ja' weèr.”	"A vision appeared to Paul in the night. There was a man of Macedonia standing, begging him, and saying, ""Come over into Macedonia and help us."""
A mbuèu ce a sañ mbe Ñwaâ' Nyúè enáê, “E m ko' mbekïì a gee beèe ce e m so a du a yeâ mbuèu, a fa mfa neè beèe foñ.”	"Therefore he says, ""When he ascended on high, he led captivity captive, and gave gifts to men."""
Weèr aè m ye yuu mo' a buu efa rlaè' ka'. Weèr aè m ce faè' ce lïì'mi neètú' ba neèmootïì faè dïì' weèr bo ba ntáèr neè ñwáè moè' ka'.	neither did we eat bread from anyone's hand without paying for it, but in labor and travail worked night and day, that we might not burden any of you;
Banɛ e ce soʼniŋgòŋ.	He divided the corn and gave the greater part to his child and gave the lesser part to my child.
Ñwáè ce aède' e so ñgoèñ yu nda? Ku ba ñwáè ce e byemi ená Jisoès yu Muu Nyúè.	Who is he who overcomes the world, but he who believes that Jesus is the Son of God?
Weèr aè ka' yu', a yá ená yi yu boèñboñ neè weèr aè rce beèe, tuu tá a vú yá weèe. Woweèe a be vúè a Baènabaès ba Pol ce yu bkar wer seê,	it seemed good to us, having come to one accord, to choose out men and send them to you with our beloved Barnabas and Paul,
Wèr à yɛ kuʼ bèe.	We have seen many people.
A ka' naèti duè, a seèesïî, a laa enáê, “Ñwáè ca ce geèe yuu mo' ce aède' a ba yú ye káè fa ye aè shañ ka'.”	"When they had withdrawn, they spoke one to another, saying, ""This man does nothing worthy of death or of bonds."""
